Department,ProgramLevel,Year,BatchYear,RegisterNumber,Student Name,Email
B.Sc Computer Science,UG,1,26,82302630101,Navya Reddy,82302630101@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630102,Vivaan Kulkarni,82302630102@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630103,Nikhil Gupta,82302630103@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630104,Rohan Kumar,82302630104@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630105,Vaishnavi Reddy,82302630105@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630106,Saanvi Kulkarni,82302630106@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630107,Pooja Verma,82302630107@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630108,Reyansh Yadav,82302630108@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630109,Manav Iyer,82302630109@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630110,Vivaan Nair,82302630110@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630111,Ritvik Gupta,82302630111@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630112,Diya Shetty,82302630112@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630113,Vivaan Verma,82302630113@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630114,Kabir Gowda,82302630114@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630115,Pari Gowda,82302630115@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630116,Myra Mehta,82302630116@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630117,Rohan Bose,82302630117@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630118,Ira Das,82302630118@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630119,Nandini Bhatt,82302630119@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630120,Aarav Pillai,82302630120@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630121,Nandini Singh,82302630121@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630122,Ishita Mehta,82302630122@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630123,Harsh Das,82302630123@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630124,Shaurya Patel,82302630124@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630125,Anjali Rao,82302630125@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630126,Mohammed Nair,82302630126@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630127,Sameer Reddy,82302630127@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630128,Yash Bhatt,82302630128@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630129,Yash Shetty,82302630129@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630130,Sanjay Mukherjee,82302630130@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630131,Aditya Kulkarni,82302630131@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630132,Vikram Verma,82302630132@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630133,Sai Shukla,82302630133@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630134,Sameer Nair,82302630134@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630135,Sara Menon,82302630135@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630136,Aditi Mishra,82302630136@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630137,Advika Pandey,82302630137@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630138,Keerthi Chopra,82302630138@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630139,Anika Patel,82302630139@hicas.ac.in
B.Sc Computer Science,UG,1,26,82302630140,Prisha Nair,82302630140@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530101,Aditya Chaudhary,82302530101@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530102,Rohan Pillai,82302530102@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530103,Rakesh Nair,82302530103@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530104,Harini Gupta,82302530104@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530105,Keerthi Reddy,82302530105@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530106,Sameer Das,82302530106@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530107,Vikram Mishra,82302530107@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530108,Aditi Chopra,82302530108@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530109,Atharv Chopra,82302530109@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530110,Yash Patel,82302530110@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530111,Riya Das,82302530111@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530112,Ishita Shukla,82302530112@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530113,Saanvi Mishra,82302530113@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530114,Arjun Shetty,82302530114@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530115,Navya Singh,82302530115@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530116,Myra Kulkarni,82302530116@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530117,Karthik Singh,82302530117@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530118,Vikram Kapoor,82302530118@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530119,Nikhil Shukla,82302530119@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530120,Navya Gowda,82302530120@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530121,Sara Gupta,82302530121@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530122,Saanvi Rao,82302530122@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530123,Aditi Pillai,82302530123@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530124,Shruti Iyer,82302530124@hicas.ac.in
B.Sc Computer Science,UG,2,25,82302530125,Rohan Banerjee,82302530125@hicas.ac.in
